"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","CHANNELS (#)","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETVERSION","GBW (MHZ) TYPICAL","IS (MA) TYPICAL","LATESTREVISIONDATE","LATESTREVISIONNOTE","LINEAR TECHNOLOGY PART NUMBER","MANUFACTURER","MOUNTING TECHNOLOGY","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PACKING","PARTNUMBER","PUBLISHED","PUBLISHER","REVISIONNOTE","ROHS","SR (V/US) TYPICAL","TYPE","VALUE","VOS (MV) TYPICAL","VS MAX (V)","VS MIN (V)","SHEETPART","DESIGNATOR","DESCRIPTION"
"2N3906","TO-92A","","","","","2N3906","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/2N%2F2N3906.pdf","","","1997","","","15-Jan-2003","PCB Footprint 'BCY-W3/D4.7' replaced","","","","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.5mm; Leads 0.51 x 0.48 mm (max)","TO-92A","Sep-1998","","","8-Jun-2000","Altium Limited","","","","","","","","","","Q??","PNP General Purpose Amplifier"
"Cap","RAD-0.3","","","","","Cap","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing","RAD-0.3","","","","8-Jun-2000","Altium Limited","","","","","1 nF","","","","","C1A?","Capacitor"
"LT-LTC1564-G-16","LT-G-16_M","LT-G-16_N","LT-G-16_L","1","","LTC1564IG#PBF","Manufacturer URL","http://www.linear.com/","Datasheet","http://cds.linear.com/docs/en/datasheet/1564fa.pdf","Package Specification","http://cds.linear.com/docs/en/packaging/SSOP_16_05-08-1640.pdf","Rev. A","0.15","15","","","LTC1564","Linear Technology","Surface Mount","16-Lead Plastic SSOP, Body 6.2 x 5.3 mm, Pitch 0.65 mm","LT-G-16","","","LTC1564IG#PBF","","","URLs updated","Pb-Free","","PGA","","3","10.5","2.7","","U??","Single Channel, Digitally Controlled Antialiasing Filter and 4-Bit PGA, 0.15 MHz Typical GBW, 2.7 to 10.5 V, 16-Pin SOP (G16), Industrial, Pb-Free"
"LT-LTC6910-TS8-8","LT-TS8-8-TSOT-23_V","","","1","MO-193","LTC6910-3CTS8#TRMPBF","Manufacturer URL","http://www.linear.com/","Datasheet","http://cds.linear.com/docs/en/datasheet/6910123fa.pdf","Package Specification","http://cds.linear.com/docs/en/packaging/SOT_8_05-08-1637.pdf","Rev. A","11","2","","","LTC6910-3","Linear Technology","Surface Mount","8-Lead Plastic TSOT-23, Body 2.9 x 1.63 mm, Pitch 0.65 mm","LT-TS8-8-TSOT-23","Rev A","Mini Reel","LTC6910-3CTS8#TRMPBF","","","URLs updated","Pb-Free","16","PGA","","3","11","2.7","","U??","Single Channel, Digitally Controlled Programmable Gain Amplifier, 11 MHz Typical GBW, 16 V/us Typical SR, 2.7 to 11 V, 8-Pin SOT23 (TS8-8), Commercial, Pb-Free, Mini Reel"
